date|time|description|vendor|amount
2023-10-24|13:59:00.696794700|r|r|4.0
2023-10-24|14:00:15.734161500|yarn|store93|93.0
2023-10-24|14:00:32.100403|wrats|corn|-23.0
2023-10-24|14:00:44.092797|dox|tech store|-39.0
2023-09-10|14:00:44.092797|tan|salon|-100.0
2022-10-24|14:00:15.734161500|yarn|store93|45.0
2023-04-24|13:59:00.696794700|r|r|4.0
2023-10-24|21:33:35.929975300|gas bill|gas company|-400.0
2023-10-24|21:42:00.879814800|qwerty|amazon|30.0
2023-10-24|21:47:43.119968100|josh|randy|10000.0
2023-10-24|21:49:51.051827100|top|top|12.0
2023-10-24|22:43:27.347143200|q|q|12.0
2023-10-24|22:43:33.322515600|q|q|12.0
2023-10-24|22:50:12.881980900|same|time|12.0
2023-10-24|22:52:14.265970600|x|x|12.0
2023-10-24|22:55:35.940995|down|who|-45.0
2023-10-24|23:05:23.851965600|clout|ivan|-90.0
2023-10-25|00:03:34.276964500|retirement|vanguard|2000.0
2023-10-25|00:07:06.824981700|alex|alex alex|-14.0
2023-10-27|10:28:38.144575300|keyboard|ivan|10000.0